word,part_of_speech,topic,context
hospital,n,"Health, Medicine and Exercise; Places: Buildings",
hot,adj,The Natural World; Weather,
hotel,n,Places: Buildings; Services,
hour,n,Measurements; Time,
house,n,House and Home; Places: Buildings,
jacket,n,Clothes and Accessories,
housewife,n,,
jam,n,Food and Drink,
how,adv,,
however,adv,,
January,n,Time,
huge,adj,,
jazz,n,,
hungry,adj,"Food and Drink; Personal Feelings, Opinions and Experiences (adjectives)",
jeans,n pl,Clothes and Accessories,
hurry,v,,
jellyfish,n,,
hurt,v,"Health, Medicine and Exercise",
jewellery,n,Clothes and Accessories,
jewelry,n,Clothes and Accessories,
husband,n,Family and Friends,
job,n,Work and Jobs,
join,v,Hobbies and Leisure,
journalist,n,Work and Jobs,
journey,n,Travel and Transport,
juice,n,Food and Drink,
I,pron,,
July,n,,
ice,n,Food and Drink; The Natural World; Weather,
jump,v,,
jumper,n,Clothes and Accessories,
leave,v,Travel and Transport,
June,n,,
just,adv,,
left,"adj, adv & n",Travel and Transport,
left-hand,adj,,
kangaroo,n,,
leg,n,"Health, Medicine and Exercise",
keep,v,,
lemon,n,Food and Drink,
lemonade,n,Food and Drink,
lend,v,,
key,n,House and Home,
length,n,,
keyboard,n,Communication and Technology; Entertainment and Media,
less,"adj, det & pron",,
lesson,n,Education,
kick,n & v,,
let,v,,
kids,n,,
kid,n,,
kilogramme,n,Measurements,
kilogram,n,Measurements,
kilometre,n,Measurements,
kilometer,n,Measurements,
letter,n,Documents and Texts; Work and Jobs,
kind,adj & n,"Personal Feelings, Opinions and Experiences (adjectives)",
level,n,Education,
king,n,Work and Jobs,
kiss,n & v,,
library,n,Education; Places: Buildings; Services,
kit,n,Clothes and Accessories; Sport,
licence,n,Documents and Texts; Travel and Transport,
kitchen,n,Food and Drink; House and Home,
kite,n,,
lie down,phr v,"Health, Medicine and Exercise",
kitten,n,,
life,n,,
knife,n,Food and Drink,
lift,n,Places: Buildings,
know,v,Education,
light,n & adj,Appliances; Colours; House and Home; Travel and Transport,
like,"adv, prep & v",,
lake,n,Places: Countryside; The Natural World,
lamp,n,Appliances; House and Home,
language,n,Education,
line,n,,
laptop,n,Appliances; Communication and Technology; Hobbies and Leisure; House and Home; Work and Jobs,
laptop computer,n,Appliances; Communication and Technology; Hobbies and Leisure; House and Home; Work and Jobs,
large,adj,,
last,adj & det,,
link,n,,technology
late,adv & adj,,
lion,n,,
later,adv,,
list,n,,
listen,v,Entertainment and Media,
listen to,v,Entertainment and Media,
latest,adj,,
litre,n,Measurements,
liter,n,Measurements,
laugh,v,Entertainment and Media,
little,adj,,
lazy,adj,,
live,v,House and Home,
learn,v,Education,
living room,n,House and Home,
least,adv,,
lizard,n,,
local,adj,,
leather,n & adj,,
long,adj,,
look,v,,
mean,v,,
meat,n,Food and Drink,
mechanic,n,Travel and Transport; Work and Jobs,
medicine,n,"Health, Medicine and Exercise",
look after,phr v,,
meet,v,,
look at,phr v,Entertainment and Media,
meeting,n,Time; Work and Jobs,
look for,phr v,,
melon,n,Food and Drink,
look out,phr v,,
member,n,Hobbies and Leisure; Sport,
lorry,n,,
memory,n,,
lose,v,,
menu,n,Documents and Texts; Food and Drink,
message,"n, v",Documents and Texts; Work and Jobs,
lost,adj,,
metal,n & adj,,
lots,n,,
a lot,n,,
metre,n,Measurements,
meter,n,Measurements,
microphone,n,,
loud,adj,,
midday,n,,
love,n & v,Family and Friends,
middle,n,,
lovely,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
low,adj,,
midnight,n,Time,
luck,n,Sport,
might,mv,,
luckily,adv,,
mile,n,,
lucky,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
milk,n,Food and Drink,
luggage,n,Travel and Transport,
million,n,,
lunch,n,Food and Drink,
mind,v,,
lunchtime,n,,
machine,n,Travel and Transport,
mine,pron,,
mad,adj,,
mineral water,n,Food and Drink,
magazine,n,Documents and Texts; Entertainment and Media; Hobbies and Leisure,
minus,prep,,
mail,n,,
minute,n,Measurements; Time,
main course,n,Food and Drink,
mirror,n,Travel and Transport,
make,v,,
Miss,n,Family and Friends; Travel and Transport,
make sure,v,,
make sure that,v,,
miss,v,Family and Friends; Travel and Transport,
make-up,n,,
missing,adj,,
man,n,,
mistake,n,,
manager,n,Work and Jobs,
mix,v,,
mango,n,,
mobile,n,Appliances; Communication and Technology,
mobile phone,n,Appliances; Communication and Technology,
many,det & pron,,
model,n,,
map,n,Travel and Transport,
modern,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
March,n,,
mom,n,,
mark,n,Education,
moment,n,Measurements; Time,
market,n,Places: Town and City,
married,adj,"Family and Friends; Personal Feelings, Opinions and Experiences (adjectives)",
Monday,n,Time,
match,n,,
money,n,,
monkey,n,,
month,n,Time,
maths,n,Education,
mathematics,n,Education,
math,n,Education,
monthly,adj & adv,Time,
matter,n & v,,
moon,n,The Natural World,
more,"adj, adv, det & pron",,
morning,n,Time,
most,"adj, adv, det & pron",,
May,n,,
mother,n,Family and Friends,
may,mv,,
motorbike,n,Travel and Transport,
maybe,adv,,
motorway,n,Places: Town and City; Travel and Transport,
me,pron,,
mountain,n,Places: Countryside; The Natural World,
meal,n,Food and Drink,
mouse,n,Communication and Technology,
not,adv,,
note,n & v,Documents and Texts; Education,
mouth,n,,
